fecha,hora,ubicacion,flujo_vehicular
2025-07-11,14,circunvalacion,1425
2025-07-11,15,san pedro,1487
2025-07-11,23,ruta 32,1023
2025-07-12,1,zapote,1193
2025-07-12,14,alajuela centro,1452
2025-07-12,23,general canas,891
2025-07-13,0,alajuela centro,1114
2025-07-13,5,alajuela centro,434
2025-07-13,13,circunvalacion,1081
2025-07-13,20,circunvalacion,285
2025-07-14,5,general canas,612
2025-07-14,10,alajuela centro,1347
2025-07-14,12,san pedro,569
2025-07-14,13,ruta 27,1902
2025-07-14,15,zapote,787
2025-07-14,17,san pedro,1347
2025-07-14,18,ruta 32,238
2025-07-15,7,zapote,1331
2025-07-15,16,circunvalacion,804
2025-07-16,0,ruta 27,1616
2025-07-16,3,alajuela centro,1935
2025-07-16,12,zapote,223
2025-07-16,15,ruta 27,1659
2025-07-17,2,zapote,1893
2025-07-17,4,zapote,1427
2025-07-17,10,general canas,1556
2025-07-17,11,general canas,566
2025-07-17,14,general canas,1865
2025-07-17,15,ruta 27,819
2025-07-17,20,ruta 27,900
2025-07-17,21,ruta 27,414
2025-07-17,22,ruta 27,374
2025-07-18,5,ruta 32,614
2025-07-18,11,circunvalacion,1677
2025-07-18,17,general canas,1398
2025-07-18,18,circunvalacion,593
2025-07-18,20,zapote,1225
2025-07-19,0,circunvalacion,1108
2025-07-19,3,alajuela centro,524
2025-07-19,4,general canas,1405
2025-07-19,12,alajuela centro,1634
2025-07-19,13,ruta 32,1441
2025-07-19,15,alajuela centro,1124
2025-07-19,16,san pedro,1018
2025-07-20,8,general canas,413
2025-07-20,14,circunvalacion,275
2025-07-20,16,san pedro,808
2025-07-21,10,ruta 27,1608
2025-07-21,22,circunvalacion,677
2025-07-21,23,ruta 32,1821
2025-07-22,10,circunvalacion,1133
2025-07-22,16,ruta 27,1534
2025-07-23,14,san pedro,455
2025-07-23,15,zapote,1961
2025-07-23,21,zapote,1198
2025-07-23,22,san pedro,787
2025-07-24,16,alajuela centro,491
2025-07-24,17,circunvalacion,677
2025-07-24,23,general canas,1501
2025-07-25,21,zapote,1551
2025-07-26,7,san pedro,1533
2025-07-26,9,circunvalacion,410
2025-07-26,10,ruta 27,1610
2025-07-26,17,san pedro,702
2025-07-27,4,alajuela centro,354
2025-07-27,6,ruta 27,1967
2025-07-27,7,general canas,1242
2025-07-27,19,san pedro,742
2025-07-27,22,ruta 27,1207
2025-07-28,2,san pedro,1114
2025-07-28,4,ruta 27,1811
2025-07-28,9,circunvalacion,1160
2025-07-28,14,circunvalacion,1860
2025-07-28,15,san pedro,322
2025-07-28,16,circunvalacion,1556
2025-07-28,22,alajuela centro,345
2025-07-29,0,ruta 27,782
2025-07-29,9,ruta 27,1533
2025-07-29,12,ruta 27,1280
2025-07-29,13,zapote,1722
2025-07-30,0,ruta 27,294
2025-07-30,2,general canas,1427
2025-07-30,19,circunvalacion,338
2025-07-31,2,general canas,1973
2025-07-31,9,alajuela centro,1049
2025-07-31,11,ruta 27,514
2025-07-31,16,ruta 32,1789
2025-07-31,22,zapote,1009
2025-08-01,7,ruta 32,1203
2025-08-01,12,general canas,957
2025-08-01,14,zapote,419
2025-08-01,17,zapote,1534
2025-08-02,5,general canas,681
2025-08-02,10,ruta 27,353
2025-08-02,19,general canas,1275
2025-08-02,20,general canas,305
2025-08-03,6,circunvalacion,664
2025-08-03,13,ruta 32,1104
2025-08-03,20,san pedro,1255
2025-08-04,5,zapote,525
2025-08-04,9,general canas,630
2025-08-04,10,san pedro,1075
2025-08-04,15,ruta 27,1404
2025-08-05,0,circunvalacion,459
2025-08-05,4,general canas,1558
2025-08-05,12,san pedro,1131
2025-08-05,19,ruta 32,1849
2025-08-05,21,san pedro,1693
2025-08-06,0,ruta 27,971
2025-08-06,7,circunvalacion,1638
2025-08-06,13,alajuela centro,1018
2025-08-06,15,zapote,498
2025-08-06,18,ruta 32,283
2025-08-06,22,ruta 32,947
2025-08-07,4,ruta 27,1469
2025-08-07,8,ruta 27,838
2025-08-07,14,general canas,1676
2025-08-07,17,zapote,1238
2025-08-07,18,zapote,1478
2025-08-07,21,ruta 27,1294
2025-08-07,22,general canas,1896
2025-08-08,10,circunvalacion,1174
2025-08-08,11,general canas,663
2025-08-08,15,alajuela centro,719
2025-08-08,23,zapote,1804
2025-08-09,5,ruta 27,239
2025-08-09,7,alajuela centro,1201
2025-08-09,12,circunvalacion,1929
2025-08-09,19,zapote,552
2025-08-09,21,general canas,1820
2025-08-10,1,circunvalacion,1073
2025-08-10,8,ruta 32,1618
2025-08-10,13,san pedro,399
2025-08-10,21,ruta 27,626
2025-08-11,7,ruta 32,1191
2025-08-11,8,general canas,839
2025-08-11,9,ruta 27,1398
2025-08-11,11,zapote,816
2025-08-11,12,ruta 27,878
2025-08-11,17,ruta 32,1809
2025-08-12,10,general canas,1628
2025-08-12,12,ruta 27,788
2025-08-12,16,alajuela centro,1514
2025-08-13,4,circunvalacion,1785
2025-08-13,10,zapote,446
2025-08-13,16,ruta 32,1695
2025-08-13,18,zapote,367
2025-08-13,21,circunvalacion,1748
2025-08-13,22,san pedro,1317
2025-08-14,0,ruta 27,1283
2025-08-14,5,general canas,903
2025-08-14,15,circunvalacion,1553
2025-08-14,21,alajuela centro,1250
2025-08-15,2,ruta 32,357
2025-08-15,3,ruta 27,996
2025-08-15,11,circunvalacion,928
2025-08-15,16,general canas,1855
2025-08-15,20,ruta 27,574
2025-08-16,2,general canas,1913
2025-08-16,16,zapote,556
2025-08-16,20,ruta 32,1588
2025-08-17,9,circunvalacion,690
2025-08-17,11,ruta 32,1461
2025-08-17,18,ruta 32,413
2025-08-17,19,ruta 27,1796
2025-08-17,23,zapote,1199
2025-08-18,12,ruta 27,1645
2025-08-18,14,zapote,1254
2025-08-18,21,zapote,968
2025-08-18,23,ruta 32,478
2025-08-19,3,ruta 27,387
2025-08-19,6,zapote,1430
2025-08-19,7,general canas,1554
2025-08-19,12,general canas,335
2025-08-19,17,ruta 32,800
2025-08-19,20,ruta 27,388
2025-08-20,0,general canas,1968
2025-08-20,4,zapote,816
2025-08-20,7,ruta 32,406
2025-08-20,8,zapote,1761
2025-08-20,9,san pedro,1090
2025-08-20,11,zapote,1241
2025-08-21,0,general canas,689
